id,shortcut,description,program,device_gram,program_gram
0,Delete,Clear or Delete Selected text,Dynamics NAV 2015,windows,dynamics_nav_2015
1,F5,Refresh,Dynamics NAV 2015,windows,dynamics_nav_2015
2,F9,Post,Dynamics NAV 2015,windows,dynamics_nav_2015
3,Ctrl + F4,Look up to the related list,Dynamics NAV 2015,windows,dynamics_nav_2015
4,Ctrl + F7,View entries,Dynamics NAV 2015,windows,dynamics_nav_2015
5,Ctrl + F9,Release document,Dynamics NAV 2015,windows,dynamics_nav_2015
6,Ctrl + F10,Select the ribbon and display key tips,Dynamics NAV 2015,windows,dynamics_nav_2015
7,Shift + F4,Open a lookup Window,Dynamics NAV 2015,windows,dynamics_nav_2015
8,F6,Go to the next Frame,Dynamics NAV 2015,windows,dynamics_nav_2015
9,End,Move to the Last Field on a line,Dynamics NAV 2015,windows,dynamics_nav_2015
10,F7,Display Statistics,Dynamics NAV 2015,windows,dynamics_nav_2015
11,F8,Copy the field above,Dynamics NAV 2015,windows,dynamics_nav_2015
12,Left Arrow,Move to the previous Character or Filed,Dynamics NAV 2015,windows,dynamics_nav_2015
13,Right Arrow,Move to the next Character or Field,Dynamics NAV 2015,windows,dynamics_nav_2015
14,Ctrl + F1,Collapse the ribbon or Rxpand the Ribbon,Dynamics NAV 2015,windows,dynamics_nav_2015
15,Ctrl + F7,View entries,Dynamics NAV 2015,windows,dynamics_nav_2015
16,Shift + left click,On multiple column headers the columns will all be sorted in the same ascending or descending direction.,Dynamics NAV 2015,windows,dynamics_nav_2015
17,Shift + double click,this will toggle ascending/descending direction of all the columns included in the sorting,Dynamics NAV 2015,windows,dynamics_nav_2015
18,Shift + F6,Go to the Previous frame,Dynamics NAV 2015,windows,dynamics_nav_2015
19,Shift + F8,Drop-down or look up to view,Dynamics NAV 2015,windows,dynamics_nav_2015
20,Shift + F11,Apply Entries get Source documents or get warehouse documents,Dynamics NAV 2015,windows,dynamics_nav_2015
21,Shift + F12,Open the role center from the Navigation pane,Dynamics NAV 2015,windows,dynamics_nav_2015
22,Shift + F9,Post and Print,Dynamics NAV 2015,windows,dynamics_nav_2015
